,state,name,twitter_handle
271,KY-04,Thomas Massie ,@RepThomasMassie
272,KY-05,Harold Rogers ,@RepHalRogers
273,KY-06,Andy Barr ,@RepAndyBarr
274,LA-01,Steve Scalise ,@SteveScalise
275,LA-02,Cedric L. Richmond ,@RepRichmond
276,LA-03,Clay Higgins ,@RepClayHiggins
277,LA-04,Mike Johnson ,@RepMikeJohnson
278,LA-05,Ralph Lee Abraham ,@RepAbraham
279,LA-06,Garret Graves ,@RepGarretGraves
280,ME-01,Chellie Pingree ,@chelliepingree
281,ME-02,Jared Golden ,@RepGolden
282,MD-01,Andy Harris ,@RepAndyHarrisMD
283,MD-02,C. A. Dutch Ruppersberger ,@Call_Me_Dutch
284,MD-03,John P. Sarbanes ,@RepSarbanes
285,MD-04,Anthony G. Brown ,@RepAnthonyBrown
286,MD-05,Steny H. Hoyer ,@LeaderHoyer
287,MD-06,David Trone ,@RepDavidTrone
288,MD-07,Elijah Cummings ,@RepCummings
289,MD-08,Jamie Raskin ,@RepRaskin
290,MA-01,Richard E. Neal ,@RepRichardNeal
291,MA-02,James P. McGovern ,@RepMcGovern
292,MA-03,Lori Trahan ,@RepLoriTrahan
293,MA-04,Joseph P. Kennedy ,@RepJoeKennedy
294,MA-05,Katherine M. Clark ,@RepKClark
295,MA-06,Seth Moulton ,@teammoulton
296,MA-07,Ayanna Pressley ,@RepPressley
297,MA-08,Stephen F. Lynch ,@RepStephenLynch
298,MA-09,William R. Keating ,@USRepKeating
299,MI-01,Jack Bergman ,@RepJackBergman
300,MI-02,Bill Huizenga ,@RepHuizenga
301,MI-03,Justin Amash ,@justinamash
302,MI-04,John R. Moolenaar ,@RepMoolenaar
303,MI-05,Daniel T. Kildee ,@RepDanKildee
304,MI-06,Fred Upton ,@RepFredUpton
305,MI-07,Tim Walberg ,@RepWalberg
306,MI-08,Elissa Slotkin ,@RepSlotkin
307,MI-09,Sander M. Levin ,@RepAndyLevin
308,MI-10,Paul Mitchell ,@RepPaulMitchell
309,MI-11,Haley Stevens ,@RepHaleyStevens
310,MI-12,Debbie Dingell ,@RepDebDingell
311,MI-13,Rashida Tlaib ,@RepRashida
312,MI-14,Brenda L. Lawrence ,@RepLawrence
313,MN-01,Jim Hagedorn ,@RepHagedorn
314,MN-02,Angie Craig ,@RepAngieCraig
315,MN-03,Dean Phillips ,@RepDeanPhillips
316,MN-04,Betty McCollum ,@BettyMcCollum04
317,MN-05,Ilhan Omar ,@Ilhan
318,MN-06,Tom Emmer ,@RepTomEmmer
319,MN-07,Collin C. Peterson ,N/A
320,MN-8,Pete Stauber ,@RepPeteStauber
321,MO-01,Wm. Lacy Clay Jr ,@LacyClayMO1
322,MO-2,Ann Wagner ,@RepAnnWagner
323,MO-03,Blaine Luetkemeyer ,@RepBlaine
324,MO-04,Vicky Hartzler ,@RepHartzler
325,MO-05,Emanuel Cleaver ,@repcleaver
326,MO-06,Sam Graves ,@RepSamGraves
327,MO-07,Billy Long ,@USRepLong
328,MO-08,Jason Smith ,@RepJasonSmith
329,MS-01,Trent Kelly ,@RepTrentKelly
330,MS-02,Bennie G. Thompson ,@BennieGThompson
331,MS-03,Michael Guest ,@RepMichaelGuest
332,MS-04,Steven M. Palazzo ,@CongPalazzo
333,MT - ,Greg Gianforte ,N/A
334,NC-01,G. K. Butterfield ,@GKButterfield
335,NC-02,George Holding ,@RepHolding
336,NC-03,Walter B. Jones ,@RepWalterJones
337,NC-04,David E. Price ,@RepDavidEPrice
338,NC-05,Virginia Foxx ,@virginiafoxx
339,NC-06,Mark Walker ,@RepMarkWalker
340,NC-07,David Rouzer ,@RepDavidRouzer
341,NC-08,Richard Hudson ,@RepRichHudson
342,NC-10,Patrick T. McHenry ,@PatrickMcHenry
343,NC-11,Mark Meadows ,@RepMarkMeadows
344,NC-12,Alma S. Adams ,@RepAdams
345,NC-13,Ted Budd ,@RepTedBudd
346,ND - ,Kelly Armstrong ,@RepArmstrongND
347,NE-01,Jeff Fortenberry ,@JeffFortenberry
348,NE-02,Don Bacon ,@RepDonBacon
349,NE-03,Adrian Smith ,@RepAdrianSmith
350,NH-01,Chris Pappas ,@RepChrisPappas
351,NH-02,Ann M. Kuster ,@RepAnnieKuster
352,NJ-01,Donald Norcross ,@DonaldNorcross
353,NJ-02,Jefferson Van Dress ,@CongressmanJVD
354,NJ-03,Andy Kim ,@RepAndyKimNJ
355,NJ-04,Christopher H. Smith ,@RepChrisSmith
356,NJ-05,Josh Gottheimer ,@RepJoshG
357,NJ-06,Frank Pallone Jr. ,@FrankPallone
358,NJ-07,Tom Malinowski ,@RepMalinowski
359,NJ-08,Albio Sires ,@RepSires
360,NJ-09,Bill Pascrell Jr. ,@BillPascrell
361,NJ-10,Donald M. Payne Jr. ,@RepDonaldPayne
362,NJ-11,Mikie Sherrill ,@RepSherrill
363,NJ-12,Bonnie Watson Coleman ,@RepBonnie
364,NM-01,Debra Haaland ,@RepDebHaaland
365,NM-02,Xochitl Torres Small ,@RepTorresSmall
366,NM-03,Ben Ray Luján ,@repbenraylujan
367,NV-01,Dina Titus ,@repdinatitus
368,NV-02,Mark E. Amodei ,@MarkAmodeiNV2
369,NV-03,Susie Lee ,@RepSusieLee
370,NV-04,Steven Horsford ,@RepHorsford
371,NY-01,Lee M. Zeldin ,@RepLeeZeldin
372,NY-02,Peter T. King ,@RepPeteKing
373,NY-03,Thomas R.. Suozzi ,@RepTomSuozzi
374,NY-04,Kathleen M. Rice ,@RepKathleenRice
375,NY-05,Gregory W. Meeks ,@RepGregoryMeeks
376,NY-06,Grace Meng ,@RepGraceMeng
377,NY-07,Nydia M. Velázquez ,@NydiaVelazquez
378,NY-08,Hakeem S. Jeffries ,@RepJeffries
379,NY-09,Yvette D. Clarke ,@RepYvetteClarke
380,NY-10,Jerrold Nadler ,@RepJerryNadler
381,NY-11,Max Rose ,@RepMaxRose
382,NY-12,Carolyn B. Maloney ,@RepMaloney
383,NY-13,Adriano Espaillat ,@RepEspaillat
384,NY-14,Alexandria Ocasio-Cortez ,@RepAOC
385,NY-15,José E. Serrano ,@RepJoseSerrano
386,NY-16,Eliot L. Engel ,@RepEliotEngel
387,NY-17,Nita M. Lowey ,@NitaLowey
388,NY-18,Sean Patrick Maloney ,@RepSeanMaloney
389,NY-19,Antonio Delagado ,@repdelgado
390,NY-20,Paul Tonko ,@RepPaulTonko
391,NY-21,Elise M. Stefanik ,@RepStefanik
392,NY-22,Anthony Brindisi ,@RepBrindisi
393,NY-23,Tom Reed ,@RepTomReed
394,NY-24,John Katko ,@RepJohnKatko
395,NY-25,Joseph Morelle ,@RepJoeMorelle
396,NY-26,Brian Higgins ,@RepBrianHiggins
397,NY-27,Chris Collins ,@RepChrisCollins
398,OH-01,Steve Chabot ,@RepSteveChabot
399,OH-02,Brad R. Wenstrup ,@RepBradWenstrup
400,OH-03,Joyce Beatty ,@RepBeatty
401,OH-04,Jim Jordan ,@Jim_Jordan
402,OH-05,Robert E. Latta ,@boblatta
403,OH-06,Bill Johnson ,@RepBillJohnson
404,OH-07,Bob Gibbs ,@RepBobGibbs
405,OH-08,Warren Davidson ,@WarrenDavidson
406,OH-09,Marcy Kaptur ,@RepMarcyKaptur
407,OH-10,Michael R. Turner ,@RepMikeTurner
408,OH-11,Marcia L. Fudge ,@RepMarciaFudge
409,OH-12,Troy Balderson ,@RepBalderson
410,OH-13,Tim Ryan ,@RepTimRyan
411,OH-14,David P. Joyce ,@RepDaveJoyce
412,OH-15,Steve Stivers ,@RepSteveStivers
413,OH-16,Anthony Gonzalez ,@RepAGonzalez
414,OK-01,Kevin Hern ,@repkevinhern
415,OK-02,Markwayne Mullin ,@RepMullin
416,OK-03,Frank D. Lucas ,@RepFrankLucas
417,OK-04,Tom Cole ,@TomColeOK04
418,OK-05,Kendra Horn ,@RepKendraHorn
419,OR-01,Suzanne Bonamici ,@RepBonamici
420,OR-02,Greg Walden ,@repgregwalden
421,OR-03,Earl Blumenauer ,@repblumenauer
422,OR-04,Peter A. DeFazio ,@RepPeterDeFazio
423,OR-05,Kurt Schrader ,@RepSchrader
424,PA-01,Brian Fitzpatrick ,@RepBrianFitz
425,PA-02,Brendan Boyle ,@CongBoyle
426,PA-03,Dwight Evans ,@RepDwightEvans
427,PA-04,Madeleine Dean ,@RepDean
428,PA-05,Mary Gay Scanlon ,@RepMGS
429,PA-06,Chrissy Houlahan ,@RepHoulahan
430,PA-07,Susan Wilk ,@RepSusanWild
431,PA-08,Matt Cartwright ,@RepCartwright
432,PA-09,Daniel Meuser ,@RepMeuser
433,PA-10,Scott Perry ,@RepScottPerry
434,PA-11,Lloyd Smucker ,@RepSmucker
435,PA-13,John Joyce ,@RepJohnJoyce
436,PA-14,Guy Reschenthaler ,@GReschenthaler
437,PA-15,Glenn Thompson ,@CongressmanGT
438,PA-16,Mike Kelly ,@MikeKellyPA
439,PA-17,Conor Lamb ,@RepConorLamb
440,PA-18,Michael Doyle ,@USRepMikeDoyle
441,RI-01,David N. Cicilline ,@davidcicilline
442,RI-02,James R. Langevin ,@JimLangevin
443,SC-01,Joe Cunningham ,@RepCunningham
444,SC-02,Joe Wilson ,@RepJoeWilson
445,SC-03,Jeff Duncan ,@RepJeffDuncan
446,SC-04,William Timmons ,@reptimmons
447,SC-05,Ralph Norman ,@RepRalphNorman
448,SC-06,James E. Clyburn ,@WhipClyburn
449,SC-07,Tom Rice ,@RepTomRice
450,SD - ,Dusty Johnson ,@RepDustyJohnson
451,TN-01,David P. Roe ,@DrPhilRoe
452,TN-02,Tim Burchett ,@RepTimBurchett
453,TN-03,"Charles J. ""Chuck"" Fleischmann ",@RepChuck
454,TN-04,Scott DesJarlais ,@DesJarlaisTN04
455,TN-05,Jim Cooper ,@repjimcooper
456,TN-06,John Rose ,@RepJohnRose
457,TN-07,Mark Green ,@RepMarkGreen
458,TN-08,David Kustoff ,@RepDavidKustoff
459,TN-09,Steve Cohen ,@RepCohen
460,TX-01,Louie Gohmert ,@replouiegohmert
461,TX-02,Dan Crenshaw ,@RepDanCrenshaw
462,TX-03,Van Taylor ,@RepVanTaylor
463,TX-04,John Ratcliffe ,@RepRatcliffe
464,TX-05,Lance Gooden ,@RepLanceGooden
465,TX-06,Ron Wright ,@RepRonWright
466,TX-07,Lizzie Fletcher ,@RepFletcher
467,TX-08,Kevin Brady ,@RepKevinBrady
468,TX-09,Al Green ,@RepAlGreen
469,TX-10,Michael T. McCaul ,@RepMcCaul
470,TX-11,K. Michael Conaway ,@ConawayTX11
471,TX-12,Kay Granger ,@RepKayGranger
472,TX-13,Mac Thornberry ,@MacTXPress
473,TX-14,Randy K. Weber Sr. ,@TXRandy14
474,TX-15,Vicente Gonzalez ,@RepGonzalez
475,TX-16,Veronica Escobar ,@RepEscobar
476,TX-17,Bill Flores ,@RepBillFlores
477,TX-18,Sheila Jackson Lee ,@JacksonLeeTX18
478,TX-19,Jodey C. Arrington ,@RepArrington
479,TX-20,Joaquin Castro ,@JoaquinCastrotx
480,TX-21,Chip Roy ,@RepChipRoy
481,TX-22,Pete Olson ,@RepPeteOlson
482,TX-23,Will Hurd ,@HurdOnTheHill
483,TX-24,Kenny Marchant ,@RepKenMarchant
484,TX-25,Roger Williams ,@RepRWilliams
485,TX-26,Michael C. Burgess ,@michaelcburgess
486,TX-27,Michael Cloud ,@RepCloudTX
487,TX-28,Henry Cuellar ,@RepCuellar
488,TX-29,Sylvia Garcia ,@RepSylviaGarcia
489,TX-30,Eddie Bernice Johnson ,@RepEBJ
490,TX-31,John R. Carter ,@JudgeCarter
491,TX-32,Colin Allred ,@RepColinAllred
492,TX-33,Marc A. Veasey ,@RepVeasey
493,TX-34,Filemon Vela ,@RepFilemonVela
494,TX-35,Lloyd Doggett ,@RepLloydDoggett
495,TX-36,Brian Babin ,@RepBrianBabin
496,UT-01,Rob Bishop ,@RepRobBishop
497,UT-02,Chris Stewart ,@RepChrisStewart
498,UT-03,John R. Curtis ,@RepJohnCurtis
499,UT-04,Ben McAdams ,@RepBenMcAdams
500,VA-01,Robert J. Wittman ,@RobWittman
501,VA-02,Elaine Luria ,@RepElaineLuria
502,VA-03,"Robert C. ""Bobby"" Scott ",@BobbyScott
503,VA-04,A. Donald McEachin ,@RepMcEachin
504,VA-05,Denver Riggleman ,@RepRiggleman
505,VA-06,Ben Cline ,@RepBenCline
506,VA-07,Abigail Spanberger ,@RepSpanberger
507,VA-08,Donald S. Beyer Jr. ,@RepDonBeyer
508,VA-09,H. Morgan Griffith ,@RepMGriffith
509,VA-10,Jennifer Wexton ,@RepWexton
510,VA-11,Gerald E. Connolly ,@GerryConnolly
511,VT - ,Peter Welch ,@PeterWelch
512,WA-01,Suzan K. DelBene ,@RepDelBene
513,WA-02,Rick Larsen ,@RepRickLarsen
514,WA-03,Jaime Herrera Beutler ,@HerreraBeutler
515,WA-04,Dan Newhouse ,@RepNewhouse
516,WA-05,Cathy McMorris Rodgers ,@cathymcmorris
517,WA-06,Derek Kilmer ,@RepDerekKilmer
518,WA-07,Pramila Jayapal ,@RepJayapal
519,WA-08,Kim Schrier ,@RepKimSchrier
520,WA-09,Adam Smith ,@RepAdamSmith
521,WA-10,Denny Heck ,@RepDennyHeck
522,WI-01,Bryan Steil ,@RepBryanSteil
523,WI-02,Mark Pocan ,@repmarkpocan
524,WI-03,Ron Kind ,@RepRonKind
525,WI-04,Gwen Moore ,@RepGwenMoore
526,WI-05,F. James Sensenbrenner Jr. ,@JimPressOffice
527,WI-06,Glenn Grothman ,@RepGrothman
528,WI-07,Sean P. Duffy ,@RepSeanDuffy
529,WI-08,Mike Gallagher ,@RepGallagher
530,WV-01,David B. McKinley ,@RepMcKinley
531,WV-02,Alexander X. Mooney ,@RepAlexMooney
532,WV-03,Carol Miller ,@RepCarolMiller
533,WY - ,Liz Cheney ,@RepLizCheney
