id,threat,reading_comprehension_1,reading_comprehension_2,reading_comprehension_3,reading_comprehension_4,reading_comprehension_5,religious_evaluative_bias_1,religious_evaluative_bias_2,religious_evaluative_bias_3,religious_evaluative_bias_4,religious_evaluative_bias_5,religious_evaluative_bias_6,gender,age,zipcode,conservative_ideology,right_ideology,god_belief,certain_of_god_belief,importance_of_religion,religious_attendance,frequency_of_prayer,religious_affiliation,belief_in_heaven,belief_in_hell,belief_in_miracles,belief_in_angels,belief_in_life_after_death,belief_in_the_soul,not_naive,religious_evaluative_bias_total,religious_belief_total
158,2,2,1,3,3,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
123,1,2,2,1,1,2,1,3,3,3,1,3,1,19,48362,8,7,2,7,5,3,3,5,5,5,5,5,5,4,999,18,29
72,2,2,1,3,3,2,1,1,5,3,3,4,2,19,489763,7,7,1,5,2,2,4,1,3,3,3,1,3,3,0,25,16
34,1,2,2,1,1,2,1,1,5,4,4,4,2,19,48357,6,8,999,4,3,1,4,3,3,3,3,3,3,3,1,27,18
51,1,2,2,1,1,1,2,1,5,4,5,5,1,19,48101,3,3,999,3,3,2,1,10,3,3,3,4,4,4,1,28,21
112,1,2,2,1,1,1,2,2,4,4,4,4,1,18,49707,3,3,999,4,1,1,1,1,3,3,3,3,3,3,1,24,18
3,1,2,2,1,1,2,3,4,2,3,2,3,1,18,49525,2,2,1,7,1,1,0,2,1,1,2,3,3,4,1,15,14
5,2,2,1,3,3,2,1,2,5,3,3,3,2,18,49331,8,8,1,5,1,2,0,2,3,3,2,2,3,3,1,23,16
6,2,2,1,2,3,2,1,1,5,3,4,5,1,18,49404,1,1,1,2,3,2,2,10,4,1,3,4,5,5,1,27,22
10,2,2,1,3,3,2,1,1,5,3,3,3,2,18,49854,5,5,1,3,1,1,0,6,4,4,2,1,4,4,1,24,19
24,2,2,1,3,3,1,3,3,4,4,3,3,1,18,48858,2,3,1,4,3,3,0,1,3,3,4,3,4,4,1,20,21
27,2,2,1,3,3,2,2,2,2,3,3,4,1,18,48640,2,4,1,5,1,1,0,10,3,3,2,3,3,3,1,20,17
39,2,2,1,3,3,2,1,4,3,3,3,3,2,18,48193,6,5,1,3,1,1,0,1,2,2,1,1,3,1,1,19,10
42,2,2,1,3,3,1,2,2,5,3,5,4,1,19,48464,6,6,1,2,1,1,0,10,3,3,4,3,3,3,1,25,19
44,2,2,1,3,3,1,1,2,5,5,5,5,1,19,49287,1,1,1,4,1,2,0,1,3,3,2,3,3,4,1,29,18
56,1,2,2,1,1,1,2,4,4,3,3,3,2,19,49412,7,6,1,1,1,3,0,7,1,1,3,3,3,3,1,19,14
73,2,2,1,3,1,1,2,2,4,4,3,4,1,19,46033,5,5,1,4,4,3,4,12,3,3,3,3,3,3,1,23,18
82,1,2,2,1,1,1,2,2,4,3,4,4,1,18,48858,6,5,1,2,1,1,4,10,4,3,3,4,5,4,1,23,23
107,2,2,1,3,3,1,2,2,4,3,3,3,2,20,48021,7,6,1,4,1,1,0,10,3,3,3,3,3,3,1,21,18
114,1,2,2,1,1,1,2,3,4,3,3,4,2,18,48328,5,6,1,3,1,1,1,10,3,3,3,3,3,4,1,21,19
125,2,2,1,3,3,2,1,2,5,3,3,3,2,18,48601,3,3,1,5,1,2,4,1,3,3,3,3,4,4,1,23,20
133,1,2,2,1,1,2,1,1,5,3,3,3,2,18,48757,3,3,1,6,1,1,0,10,3,3,2,2,3,3,1,24,16
136,2,2,1,3,999,2,1,1,5,4,5,5,2,20,48165,3,3,1,4,1,2,0,2,2,2,1,1,2,1,1,29,9
139,2,2,2,1,3,2,1,1,5,5,5,5,2,18,48393,7,7,1,7,1,1,0,10,3,3,3,4,3,5,1,30,21
144,1,2,2,1,1,1,1,1,3,3,3,3,1,18,48219,2,11,1,6,1,3,0,1,3,3,2,3,4,3,1,22,18
4,1,2,2,1,1,2,3,4,4,3,4,3,1,18,49735,9,9,2,1,4,3,6,6,5,2,4,4,5,5,1,19,25
7,1,2,2,1,1,1,2,2,4,3,3,3,2,19,48463,7,7,2,5,3,2,1,5,4,3,4,4,4,4,1,21,23
8,2,2,1,1,3,1,2,4,3,2,2,2,2,19,48433,11,11,2,7,4,4,5,6,5,5,5,4,5,4,1,15,28
9,2,2,1,3,3,2,2,3,4,3,4,4,1,18,49858,6,6,2,7,5,5,5,5,5,4,5,4,5,5,1,22,28
14,2,2,1,3,3,1,1,1,5,4,5,5,1,19,48015,3,6,2,1,6,4,6,5,5,5,5,5,5,3,1,29,28
17,2,2,1,3,3,1,1,2,4,4,4,4,1,18,48858,6,6,2,7,4,4,4,7,5,5,4,4,5,4,1,25,27
25,2,2,1,1,3,1,5,2,5,3,4,3,2,18,48240,7,8,2,6,4,2,1,5,5,5,4,4,5,5,1,20,28
26,1,2,2,1,1,1,1,2,5,5,5,4,1,18,48150,2,2,2,5,3,2,4,5,4,4,5,4,3,3,1,28,23
28,1,2,2,1,1,1,2,2,3,3,3,3,2,19,48098,10,9,2,7,4,4,4,6,5,5,5,3,5,5,1,20,28
30,2,2,1,3,3,1,1,1,5,4,4,4,1,18,48065,9,7,2,6,4,3,1,6,4,2,4,3,4,4,1,27,21
31,2,2,1,3,3,2,1,1,5,3,3,3,1,18,48879,4,6,2,7,4,3,4,7,5,5,4,4,4,4,1,24,26
33,1,2,2,1,1,1,2,3,4,3,4,2,2,19,60469,6,6,2,7,5,5,6,5,4,4,5,3,5,5,1,20,26
35,1,2,2,1,1,2,2,2,4,3,3,3,2,18,48864,6,6,2,6,4,5,2,5,4,4,4,4,4,4,1,21,24
36,2,2,1,3,3,1,2,4,2,3,2,2,1,18,48360,8,6,2,5,4,4,5,5,4,4,5,5,3,3,1,15,24
37,2,2,1,3,3,1,1,2,4,3,4,3,1,19,49931,11,8,2,6,4,5,1,6,4,3,3,3,3,4,1,23,20
38,2,2,1,3,3,2,1,3,3,3,3,3,2,19,48111,10,10,2,7,4,4,1,6,4,4,4,3,4,4,1,20,23
40,1,2,2,1,1,1,1,2,4,3,4,4,2,22,48307,9,9,2,6,4,3,2,7,4,4,4,4,4,4,1,24,24
41,2,2,1,3,3,2,2,4,3,3,3,3,1,18,48217,9,9,2,7,6,4,3,5,5,5,5,5,5,5,1,18,30
43,1,2,2,1,1,2,3,4,4,3,3,3,1,18,49202,5,5,2,6,4,2,5,5,4,4,4,3,4,3,1,18,22
48,2,2,1,3,3,1,3,1,5,2,3,3,1,18,48187,10,5,2,7,5,3,3,5,5,5,4,4,5,4,1,21,27
49,1,2,2,1,1,1,2,3,4,3,2,3,1,18,48047,6,6,2,6,3,1,4,6,4,3,2,2,2,2,1,19,15
50,1,2,2,1,1,2,2,2,4,4,3,4,1,18,48081,6,9,2,4,3,1,1,6,4,4,4,4,4,3,1,23,23
53,1,2,2,1,1,1,3,2,4,3,3,3,2,19,48146,5,6,2,5,4,2,4,5,4,3,4,3,3,3,1,20,20
61,2,2,1,3,3,1,2,3,4,2,3,3,2,19,45507,9,9,2,6,4,4,1,5,1,1,5,4,4,4,1,19,19
62,1,2,2,1,1,2,2,2,4,3,3,3,1,18,48604,3,6,2,5,4,3,1,5,5,5,5,5,4,4,1,21,28
64,1,2,2,1,1,1,2,4,4,2,3,3,1,20,48821,999,7,2,7,4,3,2,5,1,4,5,1,4,3,1,18,18
65,1,2,2,1,1,2,2,4,2,2,2,3,1,19,48219,6,11,2,7,5,3,3,5,5,5,5,5,5,3,1,15,28
66,2,2,1,3,3,1,1,1,5,3,4,3,2,19,46546,5,5,2,4,3,2,1,1,4,2,3,4,5,4,1,25,22
68,1,2,2,1,2,1,3,4,3,1,2,2,1,18,48015,4,6,2,7,4,3,5,12,5,4,5,4,5,5,1,13,28
70,2,2,1,3,3,1,1,1,5,5,5,5,2,18,48820,6,6,2,4,3,1,1,6,3,3,3,3,5,4,1,30,21
71,1,2,2,1,1,2,2,2,5,3,4,4,1,18,48067,3,5,2,7,4,3,5,5,4,3,4,3,4,3,1,24,21
74,2,2,1,3,3,1,2,2,5,2,3,3,2,19,49419,6,6,2,3,2,1,4,1,4,4,2,1,5,5,1,21,21
77,1,2,2,1,1,2,1,3,3,3,2,3,1,18,48089,6,6,2,7,5,5,3,5,5,1,5,5,5,4,1,19,25
79,2,2,1,3,3,1,3,5,4,2,2,1,2,19,48035,1,11,2,7,6,4,6,5,5,5,5,3,5,5,1,13,28
80,2,2,1,3,3,1,4,2,4,3,3,3,1,18,48609,5,6,2,1,4,3,3,6,5,5,5,5,5,5,1,19,30
81,2,2,1,3,3,2,2,2,4,4,4,4,1,19,49341,8,8,2,4,3,3,1,5,5,3,3,3,3,3,1,24,20
83,1,3,2,1,1,1,2,3,3,2,3,2,1,18,48634,5,6,2,1,5,5,3,6,5,4,4,3,5,4,1,17,25
84,2,2,1,3,3,1,2,3,3,3,3,3,2,19,48306,7,7,2,7,4,4,5,5,4,3,4,3,5,3,1,19,22
85,1,2,2,1,2,1,2,3,3,3,3,3,1,19,48167,7,5,2,7,5,5,6,5,5,4,5,5,5,5,1,19,29
90,2,2,1,3,3,2,2,2,4,3,3,4,1,18,42984,4,3,2,4,1,2,4,1,3,3,3,3,3,4,1,22,19
92,1,2,2,1,1,2,1,1,5,3,4,4,1,18,48328,10,10,2,6,4,4,5,5,4,4,5,4,5,5,1,26,27
93,1,2,2,1,1,2,1,4,2,2,2,3,2,18,48316,7,7,2,6,4,3,1,5,4,4,1,4,4,1,1,16,18
95,1,2,2,1,1,1,1,1,3,3,4,4,2,18,49546,7,6,2,5,2,3,1,6,3,3,3,3,3,3,1,24,18
96,1,2,2,1,1,2,2,2,4,2,2,3,2,18,48081,8,8,2,6,4,3,3,6,5,4,4,3,4,4,1,19,24
97,2,2,1,3,3,1,1,1,4,4,4,4,1,18,49651,6,6,2,6,4,2,3,5,4,4,5,5,5,5,1,26,28
101,1,2,2,1,1,1,1,1,5,4,5,5,2,18,48307,6,6,2,7,4,3,3,5,5,2,5,3,4,3,1,29,22
104,2,2,1,3,3,2,2,2,5,3,3,3,2,18,48450,6,6,2,2,1,1,4,10,3,3,3,3,4,4,1,22,20
105,1,2,2,1,2,1,2,2,4,3,4,4,1,18,48116,8,0,2,1,4,4,6,5,5,5,5,5,5,5,1,23,30
106,1,2,2,1,1,1,2,2,5,5,5,5,1,18,48854,6,6,2,4,3,2,1,10,4,3,3,4,5,4,1,28,23
108,1,2,2,1,2,2,1,2,3,4,2,4,2,20,48168,10,10,2,7,5,4,2,7,5,5,5,4,5,4,1,22,28
109,2,2,1,3,3,1,3,2,4,3,3,3,1,18,48446,3,6,2,5,4,2,3,6,4,4,4,4,3,4,1,20,23
110,1,2,2,999,1,2,2,4,4,4,4,4,1,20,48504,5,10,2,7,4,4,6,7,4,4,4,4,4,3,1,22,23
111,2,2,1,3,3,1,2,2,4,3,3,3,1,18,48085,9,9,2,6,3,3,1,6,5,5,5,4,4,3,1,21,26
115,2,2,1,3,3,1,1,1,4,3,2,3,1,18,49546,9,10,2,7,4,4,3,5,5,4,4,4,4,4,1,22,25
116,1,2,2,1,1,1,2,2,4,4,4,4,2,18,48130,5,5,2,5,4,3,3,6,4,4,3,3,4,4,1,24,22
118,1,2,2,1,1,1,2,4,3,3,3,3,1,18,60102,6,6,2,7,3,3,1,6,4,4,4,4,4,3,1,18,23
119,1,2,2,1,1,1,2,2,4,3,3,3,1,19,48732,6,6,2,6,4,3,1,6,5,4,4,3,3,3,1,21,22
120,2,2,1,3,3,1,2,3,4,3,2,3,1,18,48893,6,1,2,7,4,3,3,5,4,4,5,4,4,3,1,19,24
121,1,2,2,1,1,1,1,2,3,4,4,4,1,18,60504,10,10,2,7,6,3,3,5,4,5,4,3,5,3,1,24,24
122,1,2,2,1,1,2,1,4,2,3,3,3,1,18,48182,6,6,2,7,5,5,6,5,5,5,4,4,4,5,1,18,27
127,1,2,2,1,1,1,1,2,4,4,4,4,1,18,48187,4,4,2,4,3,3,1,6,4,4,4,4,4,3,1,25,23
129,2,2,1,3,3,1,2,3,3,3,3,3,2,18,48312,8,8,2,7,4,4,3,6,5,4,5,4,5,5,1,19,28
130,1,2,2,1,1,2,2,3,4,3,4,4,1,18,48706,5,5,2,6,4,4,1,6,4,2,5,4,4,3,1,22,22
131,2,2,1,3,3,2,1,4,4,3,3,3,1,18,48152,10,6,2,5,4,4,1,6,5,5,3,3,1,1,1,20,18
132,1,2,2,2,1,1,2,3,3,3,3,3,1,19,48224,5,10,2,6,5,3,1,5,4,4,5,4,4,4,1,19,25
137,2,2,1,3,3,1,1,5,4,3,3,3,1,18,48917,4,6,2,2,4,5,1,5,5,4,4,5,5,4,1,19,27
138,1,2,2,1,1,2,2,5,3,3,2,3,1,18,48837,3,6,2,7,6,6,6,5,5,5,5,5,5,5,1,16,30
145,1,2,2,1,1,1,1,2,4,3,4,3,2,19,48117,7,6,2,5,4,3,3,6,4,4,3,3,4,4,1,23,22
147,2,2,1,3,3,1,1,1,5,3,3,5,1,19,48176,2,1,2,2,1,1,1,12,3,3,4,5,5,5,1,26,25
148,1,2,2,1,1,2,1,1,5,3,3,4,2,19,48307,4,4,2,5,3,3,1,5,4,3,3,3,3,4,1,25,20
155,1,2,2,1,1,1,1,3,4,4,4,5,1,19,49546,4,2,2,4,2,1,1,10,3,3,3,4,4,3,1,25,20
157,2,2,1,3,1,2,1,2,4,3,3,3,1,18,48094,6,6,2,3,3,3,1,6,2,2,3,4,5,3,1,22,19
159,1,2,2,1,1,2,2,2,3,3,3,3,1,18,48855,7,8,2,1,5,5,5,5,5,3,4,3,3,3,1,20,21
88,2,2,3,3,3,2,1,1,1,3,3,3,2,19,48082,1,11,999,4,1,1,0,10,3,3,1,1,3,1,2,20,12
1,1,2,2,1,1,2,1,3,3,4,3,3,1,18,49249,2,2,1,1,2,1,4,1,3,3,3,3,3,3,2,21,18
29,1,2,2,1,1,2,2,1,4,3,3,3,2,18,48371,3,3,1,5,4,1,1,1,3,3,3,2,3,3,2,22,17
47,2,2,1,3,3,2,1,1,5,5,5,5,2,18,48066,3,3,1,5,1,3,0,10,3,3,1,4,3,5,2,30,19
57,2,2,1,3,3,2,2,3,5,3,4,5,1,18,48038,1,1,1,5,1,1,0,2,3,3,3,4,3,4,2,24,20
59,1,2,2,1,1,1,3,2,5,3,3,4,1,19,48236,9,7,1,4,2,1,1,6,3,3,4,4,4,3,2,22,21
94,2,2,1,3,3,1,2,2,4,4,3,3,2,18,48324,4,3,1,5,1,2,0,2,2,2,2,2,3,2,2,22,13
117,2,2,1,3,3,1,2,4,4,3,3,3,1,19,48092,5,5,1,5,1,3,4,10,3,3,3,1,3,3,2,19,16
126,2,2,1,3,3,1,2,2,4,4,4,4,1,18,49637,2,2,1,2,1,1,0,1,3,3,3,3,3,3,2,24,18
128,2,2,1,3,1,2,2,2,4,3,4,4,2,18,60410,3,4,1,6,1,1,4,10,2,2,2,1,3,3,2,23,13
143,2,2,1,3,3,2,1,2,5,3,4,4,2,18,48047,4,6,1,3,2,2,4,1,3,3,3,3,3,3,2,25,18
149,2,2,1,3,1,2,1,1,5,5,5,3,1,18,49418,1,4,1,7,1,1,4,10,1,1,2,1,1,1,2,28,7
2,1,2,2,1,1,2,2,2,4,3,3,3,2,18,49735,8,8,2,2,3,3,4,5,3,3,3,3,3,3,2,21,18
11,1,2,2,1,1,1,3,2,4,4,4,4,1,18,48204,7,10,2,3,3,2,4,5,4,4,5,4,5,3,2,23,25
12,1,2,2,1,1,1,2,3,3,3,4,4,1,18,48390,5,11,2,7,3,3,0,6,5,4,4,3,3,2,2,21,21
13,1,2,2,1,2,1,1,1,5,5,4,5,2,19,60629,5,8,2,4,3,1,2,10,4,4,4,4,4,4,2,29,24
15,1,2,2,1,1,2,3,4,2,2,2,2,2,19,49418,9,9,2,7,5,5,2,7,5,5,5,4,5,5,2,13,29
16,1,2,2,1,1,2,2,4,2,2,2,2,2,19,49301,8,9,2,5,3,3,1,6,3,3,3,1,4,4,2,14,18
18,2,2,1,3,3,1,1,1,5,4,5,5,2,18,48170,5,5,2,5,3,2,1,7,4,4,3,3,4,3,2,29,21
19,1,2,2,1,1,2,2,3,2,3,2,3,2,19,48315,9,7,2,7,5,5,5,6,5,4,5,5,5,5,2,17,29
20,1,2,2,1,1,1,1,1,5,4,3,3,2,18,48135,6,6,2,7,4,3,4,6,5,5,5,3,5,5,2,25,28
21,1,2,2,1,1,1,1,2,4,3,3,3,1,18,48005,4,5,2,5,4,3,1,5,4,4,3,4,4,5,2,22,24
22,2,2,1,3,3,1,2,5,3,3,2,4,1,18,49341,8,8,2,7,5,5,5,5,4,4,4,3,5,4,2,17,24
23,2,2,1,3,3,2,1,2,4,3,3,3,1,18,48616,3,3,2,5,3,3,3,6,4,2,4,4,4,4,2,22,22
32,1,2,2,1,1,1,3,2,3,2,3,3,2,18,48138,6,6,2,4,3,4,3,6,4,2,4,2,4,3,2,18,19
45,2,2,1,1,1,2,3,2,4,2,3,2,1,18,48165,9,7,2,6,4,5,3,5,4,4,5,2,4,3,2,18,22
46,2,2,1,3,3,1,2,4,2,2,3,3,2,19,48346,10,10,2,5,4,4,1,6,3,3,4,2,3,4,2,16,19
52,2,2,1,3,3,2,2,2,4,3,4,3,1,18,48655,6,6,2,6,4,4,3,5,4,4,4,3,4,4,2,22,23
54,1,2,2,999,1,2,1,1,1,3,3,3,1,19,49435,9,8,2,7,4,4,3,6,5,3,4,3,5,5,2,20,25
55,2,2,1,3,3,2,2,2,4,3,3,3,1,18,49525,5,8,2,6,4,4,3,6,5,4,5,2,5,5,2,21,26
58,2,2,1,1,3,1,1,4,2,4,3,3,2,18,48116,9,8,2,7,6,5,6,12,4,4,5,5,5,5,2,19,28
60,1,2,1,3,1,1,1,2,3,3,999,3,2,25,48856,2,3,2,6,4,1,1,5,1,3,2,3,2,4,2,999,15
63,2,2,1,3,3,2,2,2,4,2,3,3,2,19,48640,8,9,2,6,3,3,4,6,4,3,3,4,4,4,2,20,22
67,2,2,1,3,3,1,1,1,5,3,5,4,1,19,48186,6,11,2,7,4,4,5,10,5,5,5,4,5,4,2,27,28
69,2,2,1,3,3,2,1,1,5,5,5,5,2,19,48329,6,6,2,4,3,3,1,5,3,3,4,3,3,3,2,30,19
75,2,2,1,3,1,1,1,3,3,4,4,4,2,19,48038,9,9,2,6,3,4,1,6,4,4,4,3,4,2,2,23,21
76,2,2,1,3,3,2,1,2,4,3,3,3,2,18,48044,9,8,2,6,4,3,3,6,4,4,4,3,4,4,2,22,23
78,1,2,2,1,1,2,2,2,4,3,3,3,1,19,48221,6,8,2,1,6,4,1,5,4,4,3,4,3,3,2,21,21
86,2,2,1,3,3,1,1,1,5,4,4,5,1,18,49301,6,6,2,4,3,3,1,6,3,3,3,3,3,3,2,28,18
87,2,2,1,3,1,1,1,1,5,5,5,5,1,18,49227,8,8,2,6,5,1,2,12,4,4,4,3,4,4,2,30,23
89,1,2,2,1,1,1,4,4,4,2,2,2,2,18,48235,6,6,2,5,4,5,5,5,4,4,4,4,4,3,2,14,23
91,1,2,2,1,1,1,4,2,4,2,5,5,1,18,48638,8,7,2,3,3,2,4,6,4,4,3,3,4,4,2,22,22
98,1,2,2,1,1,1,2,2,4,4,4,4,1,18,48154,8,10,2,6,4,3,3,6,4,4,4,4,4,4,2,24,24
99,1,2,2,1,1,2,2,2,4,4,4,4,2,18,48603,9,6,2,7,5,4,5,7,2,2,4,5,4,4,2,24,21
100,1,2,2,1,1,1,1,1,4,4,4,4,1,18,48081,7,11,2,5,3,2,3,5,4,4,5,4,4,4,2,26,25
102,2,2,1,3,2,1,2,2,4,3,3,4,1,18,48002,6,6,2,5,4,3,4,5,3,3,4,3,3,4,2,22,20
103,2,2,1,3,3,2,2,3,4,3,2,3,2,18,48383,11,11,2,6,4,3,3,7,4,4,4,2,5,5,2,19,24
113,2,2,1,3,3,2,2,3,3,2,2,4,2,18,48165,4,6,2,6,4,4,3,5,4,2,4,3,4,4,2,18,21
124,1,2,2,1,1,2,3,5,3,3,2,2,1,19,48642,6,6,2,7,6,5,6,5,5,5,5,5,5,5,2,14,30
134,2,2,1,3,1,1,4,2,4,3,2,4,1,19,48611,6,6,2,7,4,4,3,5,4,3,4,3,5,3,2,19,22
135,1,2,2,1,1,1,2,3,4,3,4,5,1,18,48642,7,7,2,7,5,3,6,5,5,5,5,4,5,4,2,23,28
140,1,2,2,1,2,1,1,2,4,4,4,4,1,18,48611,6,6,2,6,4,5,1,6,5,5,5,4,5,3,2,25,27
141,1,2,2,1,1,2,2,3,2,3,3,4,1,18,48093,8,9,2,1,4,3,3,6,5,5,5,5,5,5,2,19,30
142,2,2,1,3,3,1,1,4,3,3,2,3,2,18,48642,5,5,2,1,5,5,6,5,4,4,5,4,5,5,2,18,27
146,2,2,1,3,3,1,2,1,4,4,4,4,1,18,48154,6,6,2,5,3,3,1,6,3,3,3,3,3,3,2,25,18
150,2,2,1,1,3,1,2,3,3,3,2,2,1,18,48044,10,11,2,7,5,5,3,5,5,4,5,5,5,3,2,17,27
151,1,2,2,1,1,2,2,1,5,4,4,4,2,18,53018,3,3,2,3,4,3,4,5,5,4,3,4,5,3,2,26,24
152,2,2,1,3,3,1,3,2,3,2,2,3,1,19,48060,6,9,2,5,3,1,1,5,4,4,3,3,3,2,2,17,19
153,1,2,2,1,1,1,2,2,4,3,3,4,1,22,49721,8,8,2,7,5,4,6,5,4,4,4,4,4,4,2,22,24
154,1,2,2,1,1,1,2,4,3,3,3,3,1,19,49546,10,10,2,7,4,5,3,5,5,5,5,3,5,4,2,18,27
156,1,2,2,1,1,1,2,2,4,3,4,4,1,18,60649,3,3,2,5,4,2,1,5,4,3,4,3,2,4,2,23,20
160,1,2,2,1,1,1,2,3,4,4,4,4,1,18,49080,7,6,2,5,3,2,4,5,4,4,4,2,3,2,2,23,19
161,2,2,2,3,3,2,1,2,3,3,2,4,2,19,48879,9,6,2,6,4,3,5,6,5,3,4,3,5,5,2,21,25
162,2,2,1,3,1,1,3,2,4,3,2,3,1,19,48390,6,6,2,4,1,2,4,10,3,3,4,3,5,5,2,19,23
163,2,2,1,3,3,1,1,1,5,5,5,5,1,18,49783,2,2,2,6,3,2,1,6,4,4,4,4,4,4,2,30,24
164,1,2,2,1,1,1,3,4,4,4,4,4,2,19,48307,11,11,2,6,3,2,1,5,1,1,1,1,1,1,2,21,6