id,date,time,condition,threat,iat_order,gender,age,zipcode,conservative_ideology,right_ideology,syrian_refugees,health_care,muslim_Immigration,abortion,deport_immigrants,taxes,border_wall,god_belief,certain_of_god_belief,importance_of_religion,religious_attendance,frequency_of_prayer,religious_affiliation,belief_in_heaven,belief_in_hell,belief_in_miracles,belief_in_angels,belief_in_life_after_death,belief_in_the_soul,text_comprehension_G_1,text_comprehension_G_2,text_comprehension_G_3,text_comprehension_G_4,text_comprehension_G_5,duration_reading_text_G,text_comprehension_R_1,text_comprehension_R_2,text_comprehension_R_3,text_comprehension_R_4,text_comprehension_R_5,duration_reading_text_R,certain_of_guess,duration_reading_text_ALL,correct_reading_comprehension,religious_belief_total,conservative_political_belief_total,IAT_score
1,11/27/2017,12:34:02,2,1,2,2,19,48823,2,2,4,5,1,5,2,3,1,1,2,2,1,1,10,3,3,3,3,3,3,99,99,99,99,99,0,2,2,1,1,2,57582,2,57582,5,18,15,-0.4973502731
6,11/27/2017,19:01:54,4,2,2,2,18,48324,4,5,4,4,3,5,5,3,1,1,2,1,1,1,12,3,4,2,5,3,4,2,1,3,3,2,108205,99,99,99,99,99,0,1,108205,5,21,26,0.518086717
14,11/28/2017,16:14:13,2,1,2,2,18,28290,3,7,4,5,1,5,3,3,1,1,3,2,1,1,5,2,2,3,2,4,4,99,99,99,99,99,0,2,2,1,1,1,107439,1,107439,4,17,22,0.870421657
17,11/28/2017,16:55:48,1,1,1,2,19,48236,7,6,3,4,4,5,4,5,4,1,4,3,1,1,5,3,3,3,4,4,3,99,99,99,99,99,0,2,2,1,1,1,91351,5,91351,4,20,36,0.630626021
18,11/28/2017,17:25:07,3,2,1,1,18,48382,5,4,4,5,2,4,3,4,1,1,6,1,2,1,2,2,2,3,2,3,2,2,1,2,3,2,127231,99,99,99,99,99,0,4,127231,4,14,24,1.394411872
19,11/28/2017,17:58:15,4,2,2,2,18,48073,4,6,2,4,2,4,3,3,2,1,6,1,1,1,2,2,2,3,3,3,3,2,1,2,2,1,58663,99,99,99,99,99,0,1,58663,2,16,28,0.998331953
20,11/28/2017,18:15:52,2,1,2,1,20,48322,4,4,4,5,1,5,2,3,1,1,6,2,3,1,12,3,3,2,1,3,3,99,99,99,99,99,0,2,2,1,1,2,69513,5,69513,5,15,19,1.242306572
32,11/29/2017,15:48:01,1,1,1,1,18,48331,6,6,3,3,3,4,4,3,3,1,4,3,3,1,6,3,3,4,3,4,3,99,99,99,99,99,0,2,2,1,1,1,87164,2,87164,4,20,33,0.790772178
34,11/29/2017,16:25:24,1,1,1,2,21,48114,5,6,5,5,1,5,2,2,1,1,5,1,1,1,1,3,3,3,3,3,3,99,99,99,99,99,0,2,2,1,1,1,76484,3,76484,4,18,20,0.943903851
35,11/29/2017,16:40:00,3,2,1,2,18,48167,5,5,2,4,3,5,4,3,1,1,7,3,1,2,12,1,1,3,3,5,5,2,1,2,3,2,56628,99,99,99,99,99,0,4,56628,4,18,28,0.847226739
37,11/29/2017,17:32:47,4,2,2,2,18,48346,4,5,3,4,3,5,2,3,2,1,7,1,1,1,1,3,3,1,3,3,3,2,1,3,3,2,99549,99,99,99,99,99,0,1,99549,5,16,25,-0.19740698
40,11/29/2017,18:30:50,4,2,2,2,19,48615,4,10,4,5,1,5,2,3,1,1,7,1,3,1,5,1,1,1,5,1,2,2,1,3,3,2,75911,99,99,99,99,99,0,6,75911,5,11,25,0.367913315
51,11/30/2017,16:51:51,1,1,1,1,19,48360,8,7,2,4,2,4,2,3,2,1,4,3,1,1,10,3,3,3,3,4,3,99,99,99,99,99,0,2,2,1,1,1,53458,4,53458,4,19,32,0.901925809
52,11/30/2017,17:08:10,4,2,2,2,21,48189,4,5,4,5,2,4,4,4,2,1,6,1,1,1,10,3,3,3,3,4,4,2,1,2,2,1,49687,99,99,99,99,99,0,3,49687,2,20,26,0.568682352
54,11/30/2017,17:40:36,1,1,1,2,18,48653,6,6,3,4,1,5,3,3,3,1,4,1,1,1,10,3,3,3,3,3,3,99,99,99,99,99,0,2,2,1,1,1,74046,1,74046,4,18,28,1.005840663
60,12/1/2017,11:55:02,4,2,2,2,20,22181,6,6,3,4,2,5,3,4,1,1,6,1,1,1,2,2,2,2,2,2,2,2,1,3,3,1,94833,99,99,99,99,99,0,3,94833,4,12,28,0.863446927
70,12/4/2017,12:01:57,2,1,2,2,21,48603,4,4,3,5,3,5,3,4,1,1,4,3,2,1,10,3,2,3,3,4,4,99,99,99,99,99,0,2,2,1,1,2,64737,3,64737,5,19,24,0.618184513
78,12/5/2017,16:31:07,2,1,2,1,18,48917,11,11,1,4,5,3,3,3,3,1,4,4,4,4,5,4,4,4,3,3,4,99,99,99,99,99,0,2,2,1,2,1,63524,2,63524,3,22,46,0.344168015
80,12/5/2017,17:32:45,4,2,2,1,19,48390,6,3,5,2,2,5,4,3,2,1,4,1,1,1,10,3,3,3,3,4,5,2,1,3,3,2,68975,99,99,99,99,99,0,5,68975,5,21,26,0.614785536
92,12/6/2017,17:04:02,2,1,2,2,20,48827,6,6,3,5,2,4,3,4,4,1,3,3,1,1,10,3,3,3,3,4,4,99,99,99,99,99,0,2,2,1,1,1,79264,3,79264,4,20,31,0.876411199
104,12/7/2017,17:46:27,3,2,1,2,19,49418,3,4,4,5,1,5,3,5,1,1,6,1,1,1,10,2,2,1,1,1,1,2,1,3,1,1,51836,99,99,99,99,99,0,4,51836,3,8,21,1.388737282
105,12/7/2017,18:27:42,1,1,1,2,21,48044,2,2,3,5,1,5,3,5,1,1,4,2,2,2,10,4,2,4,4,4,5,99,99,99,99,99,0,2,2,1,1,1,110646,4,110646,4,23,19,0.710586902
201,11/28/2017,17:24:14,1,1,1,1,24,49201,3,3,2,4,2,5,3,3,1,1,1,1,1,1,2,1,1,1,1,1,2,99,99,99,99,99,0,2,2,1,1,2,103194,3,103194,5,7,22,0.918403444
204,11/28/2017,18:56:46,3,2,1,2,19,49058,5,5,3,5,2,5,2,3,1,1,4,2,2,1,1,3,3,1,1,3,2,2,1,2,3,1,142959,99,99,99,99,99,0,2,142959,3,13,23,0.934895295
206,12/4/2017,10:22:53,1,1,1,2,18,49249,2,2,4,5,1,5,3,3,1,1,1,3,1,1,1,3,3,3,3,3,3,99,99,99,99,99,0,2,2,1,1,1,66409,3,66409,4,18,16,0.86191687
208,12/4/2017,10:53:22,3,2,1,1,19,48602,4,5,2,4,2,5,4,2,1,1,6,1,1,1,1,2,2,1,1,3,4,2,1,3,3,2,56815,99,99,99,99,99,0,6,56815,5,13,25,0.770428943
212,12/4/2017,12:29:19,2,1,2,1,18,48047,4,4,4,5,1,5,2,3,1,1,3,2,2,1,1,3,3,3,3,3,3,99,99,99,99,99,0,2,2,1,1,1,57565,3,57565,4,18,19,0.966895215
213,12/4/2017,12:43:36,1,1,1,2,19,48146,3,5,4,5,1,5,3,4,1,1,4,1,1,1,1,3,3,2,3,3,4,99,99,99,99,99,0,2,2,1,1,1,61370,4,61370,4,18,21,1.045028763
223,12/5/2017,10:38:05,2,1,2,2,21,48842,4,5,4,4,2,5,2,3,2,1,3,3,2,1,10,4,3,3,2,4,4,99,99,99,99,99,0,2,2,1,1,2,90090,3,90090,5,20,23,-0.109651332
225,12/5/2017,11:06:41,3,2,1,2,18,49637,2,2,4,4,2,5,2,2,1,1,5,1,1,1,1,3,3,3,3,3,3,2,1,2,1,1,136968,99,99,99,99,99,0,1,136968,2,18,16,1.237465479
236,12/5/2017,19:20:25,4,2,2,1,20,48111,3,3,4,4,1,5,3,3,1,1,7,1,1,1,2,1,1,1,1,1,1,2,1,3,3,1,74896,99,99,99,99,99,0,5,74896,4,6,19,0.663000245
238,12/7/2017,10:55:42,2,1,2,1,18,18,6,5,4,4,1,5,4,2,2,1,5,1,1,1,1,3,4,4,4,4,4,99,99,99,99,99,0,2,2,1,1,1,39733,4,39733,4,23,25,1.167818489
239,12/7/2017,11:18:39,4,2,2,1,18,48601,4,5,4,5,1,5,2,4,1,1,6,3,2,1,10,2,2,2,2,2,3,2,1,1,3,1,68563,99,99,99,99,99,0,3,68563,3,13,21,0.280730068
243,12/7/2017,12:52:50,1,1,1,2,19,48740,5,6,4,5,1,5,4,4,1,1,7,1,2,1,10,1,1,3,3,2,3,99,99,99,99,99,0,3,2,1,1,1,73476,5,73476,3,13,25,0.998538694
106,12/8/2017,9:14:18,3,2,1,2,20,48439,2,2,4,5,1,5,2,1,1,1,2,2,1,1,1,3,2,2,4,2,4,2,1,3,1,2,145608,99,99,99,99,99,0,4,145608,4,17,13,0.4583835613
108,12/8/2017,9:55:08,4,2,2,1,21,48042,4,5,4,4,2,4,3,2,2,1,2,2,1,1,2,3,3,3,3,3,3,2,1,3,2,1,95839,99,99,99,99,99,0,3,95839,3,18,24,0.4010968373
114,12/8/2017,13:16:09,2,1,2,1,18,48858,6,8,3,3,1,5,4,3,2,1,4,3,1,1,10,3,3,3,2,4,4,99,99,99,99,99,0,2,2,1,1,1,69779,4,69779,4,19,31,0.5030163663
2,11/27/2017,13:04:46,1,1,1,2,21,48154,6,6,3,4,3,4,4,4,3,2,5,3,2,2,5,4,4,4,3,4,3,99,99,99,99,99,0,2,2,1,1,1,77036,3,77036,4,22,33,0.756281397
3,11/27/2017,13:23:45,4,2,2,1,20,48768,6,6,4,5,2,4,5,4,1,2,6,1,1,1,10,3,3,4,4,5,5,2,1,3,1,1,83528,99,99,99,99,99,0,6,83528,3,24,29,0.10357738
4,11/27/2017,15:46:19,3,2,1,2,19,49802,5,4,4,5,2,4,2,3,1,2,5,4,3,4,6,4,4,4,4,4,3,2,1,1,3,1,67153,99,99,99,99,99,0,3,67153,3,23,22,0.462244256
5,11/27/2017,16:56:54,2,1,2,2,19,49224,7,8,3,5,2,5,2,4,1,2,6,4,3,5,6,1,1,2,5,5,3,99,99,99,99,99,0,2,2,1,1,1,66331,2,66331,4,17,29,1.05726975
7,11/27/2017,19:53:20,1,1,1,2,18,48094,6,6,3,4,2,5,4,3,2,2,3,3,3,2,6,2,2,4,2,5,3,99,99,99,99,99,0,3,2,1,1,2,52620,3,52620,4,18,29,1.048497563
8,11/28/2017,14:10:31,3,2,1,2,19,49428,6,6,4,3,3,5,2,3,3,2,5,3,1,2,5,4,4,4,4,4,3,2,1,3,1,1,66745,99,99,99,99,99,0,1,66745,3,23,29,0.259328628
9,11/28/2017,14:36:34,1,1,1,2,17,48858,6,7,4,2,2,1,2,2,1,2,7,4,4,5,7,5,4,5,4,5,4,99,99,99,99,99,0,2,2,1,1,1,85068,2,85068,4,27,31,1.447533973
10,11/28/2017,14:53:04,3,2,1,1,19,48446,6,9,2,4,4,4,3,4,2,2,3,3,3,2,6,3,3,2,4,3,4,2,1,3,3,1,71191,99,99,99,99,99,0,5,71191,4,19,36,1.339209897
11,11/28/2017,15:07:19,4,2,2,1,20,48173,6,8,3,3,2,5,5,4,3,2,6,4,3,6,6,4,5,4,4,5,3,2,1,2,1,1,15272,99,99,99,99,99,0,3,15272,2,25,35,0.418556474
12,11/28/2017,15:28:24,2,1,2,1,19,48315,9,7,2,4,2,1,4,3,2,2,1,4,5,4,6,5,4,4,4,3,4,99,99,99,99,99,0,2,2,1,1,1,48177,4,48177,4,24,38,0.562620838
13,11/28/2017,15:57:41,1,1,1,2,19,48158,3,1,4,5,1,4,2,3,2,2,6,3,3,2,5,3,3,5,4,5,4,99,99,99,99,99,0,2,2,2,1,1,72502,2,72502,3,24,17,0.227790874
15,11/28/2017,16:38:52,3,2,1,2,21,48726,9,9,3,4,2,4,2,5,2,2,7,4,4,6,5,4,2,5,3,4,4,2,1,2,2,1,94172,99,99,99,99,99,0,3,94172,2,22,36,0.96427613
16,11/29/2017,10:41:29,4,2,2,1,19,90640,9,8,2,5,4,3,4,4,4,2,5,4,4,4,5,2,4,4,4,4,4,2,1,3,3,2,65708,99,99,99,99,99,0,5,65708,5,22,41,0.548643181
21,11/28/2017,18:31:59,4,2,2,2,18,48002,4,6,2,4,3,4,4,4,3,2,7,5,4,5,5,5,5,5,4,3,4,2,1,3,2,1,66115,99,99,99,99,99,0,3,66115,3,26,32,0.790382526
22,11/28/2017,19:52:45,3,2,1,2,18,48185,6,8,3,4,3,2,3,4,3,2,2,4,4,2,6,5,3,5,4,4,4,2,1,1,2,2,51441,99,99,99,99,99,0,3,51441,3,25,36,0.488342693
23,11/29/2017,9:28:51,1,1,1,2,18,49525,4,7,4,4,2,1,2,4,1,2,6,4,4,3,6,4,4,4,4,5,5,99,99,99,99,99,0,2,2,1,1,1,65338,4,65338,4,26,29,0.816835243
24,11/29/2017,12:15:19,2,1,2,1,18,48050,5,5,3,3,3,4,4,4,3,2,2,3,2,5,5,3,3,3,3,3,4,99,99,99,99,99,0,2,2,1,1,2,73553,3,73553,5,19,32,1.402771154
25,11/29/2017,12:53:12,3,2,1,1,18,48044,8,8,4,2,2,2,3,2,2,2,6,4,3,6,6,5,5,5,4,4,4,2,1,3,3,1,67547,99,99,99,99,99,0,5,67547,4,27,35,1.285698393
26,11/29/2017,13:07:24,1,1,1,1,21,60561,8,9,2,1,4,3,5,3,3,2,6,4,3,2,7,5,5,5,3,5,5,99,99,99,99,99,0,2,2,1,1,1,73174,3,73174,4,28,44,0.450145216
27,11/29/2017,13:31:17,4,2,2,1,18,48603,8,7,2,4,2,4,4,4,2,2,7,2,4,4,5,2,2,4,5,5,4,2,1,3,1,1,53943,99,99,99,99,99,0,4,53943,3,22,35,1.393824387
28,11/29/2017,13:50:43,2,1,2,1,20,49660,4,5,4,4,2,4,4,4,2,2,5,3,3,2,5,4,3,5,4,4,4,99,99,99,99,99,0,2,2,1,1,1,63898,5,63898,4,24,27,0.938614754
29,11/29/2017,14:09:46,2,1,2,1,18,63368,5,5,2,4,2,2,4,4,2,2,7,4,3,2,6,5,5,5,4,3,4,99,99,99,99,99,0,2,2,1,1,1,49992,3,49992,4,26,32,0.660015417
30,11/29/2017,14:40:20,4,2,2,1,18,48917,3,5,3,5,2,5,2,4,1,2,7,4,5,4,7,5,5,5,5,5,5,2,1,3,1,1,102508,99,99,99,99,99,0,1,102508,3,30,22,1.05693946
31,12/1/2017,10:06:01,3,2,1,2,19,48224,10,11,4,4,2,3,3,4,2,2,7,6,4,5,12,2,2,4,4,4,3,2,1,2,1,1,157684,99,99,99,99,99,0,4,157684,2,19,39,0.86953479
33,12/1/2017,10:56:58,1,1,1,2,18,48393,3,3,5,5,1,1,2,4,1,2,7,6,4,7,6,5,4,4,4,4,4,99,99,99,99,99,0,2,2,1,1,2,69579,2,69579,5,25,21,1.061183035
36,12/1/2017,11:14:28,2,1,2,2,19,48611,5,5,2,4,2,5,3,3,1,2,6,4,4,4,5,4,3,4,2,5,5,99,99,99,99,99,0,2,2,1,1,2,79496,4,79496,5,23,26,0.565096796
38,11/29/2017,17:46:55,2,1,2,1,18,49456,7,8,3,4,1,2,4,3,2,2,6,5,6,6,6,4,4,5,4,4,4,99,99,99,99,99,0,2,2,1,1,2,65494,4,65494,5,25,34,1.294766537
39,11/29/2017,18:16:45,3,2,1,2,19,48076,6,11,4,5,5,2,2,5,1,2,1,6,5,4,5,5,5,5,5,5,3,2,1,3,3,1,96615,99,99,99,99,99,0,4,96615,4,28,37,0.968937529
41,11/29/2017,18:52:36,4,2,2,2,18,48837,10,9,1,2,4,4,4,2,4,2,6,5,5,6,6,4,4,5,4,5,4,2,1,3,2,1,89591,99,99,99,99,99,0,4,89591,3,26,44,0.651396807
42,11/29/2017,19:16:11,2,1,2,1,18,48176,6,6,3,4,2,2,2,4,2,2,6,4,5,4,6,4,4,5,3,5,4,99,99,99,99,99,0,2,2,1,1,1,71097,5,71097,4,25,31,0.926741545
43,11/29/2017,19:29:08,1,1,1,2,19,48462,3,4,5,5,1,5,1,3,1,2,7,4,4,6,5,5,5,5,5,5,5,99,99,99,99,99,0,2,2,1,1,1,43920,5,43920,4,30,16,0.774705343
44,11/30/2017,14:15:33,3,2,1,1,18,49646,8,7,3,4,4,4,5,4,3,2,6,4,3,2,5,5,4,5,5,5,4,2,1,3,1,1,105327,99,99,99,99,99,0,1,105327,3,28,38,0.606089334
45,11/30/2017,14:45:56,3,2,1,1,21,48473,5,5,3,4,4,4,4,4,2,2,6,4,4,5,5,2,2,4,4,3,3,2,1,3,1,1,38713,99,99,99,99,99,0,3,38713,3,18,31,0.440469436
46,11/30/2017,15:10:38,1,1,1,2,18,48640,5,5,3,4,2,4,3,4,2,2,5,4,4,4,5,4,4,3,3,4,4,99,99,99,99,99,0,2,2,1,1,1,76114,4,76114,4,22,28,1.241857981
47,11/30/2017,15:40:27,2,1,2,2,18,49424,2,9,5,5,1,5,1,4,1,2,7,5,5,7,6,5,4,5,5,5,5,99,99,99,99,99,0,2,2,1,1,2,183418,5,183418,5,29,21,0.959238534
48,11/30/2017,15:57:48,4,2,2,1,21,49424,4,5,4,4,1,5,3,2,1,2,7,6,6,7,5,5,5,5,4,5,4,2,1,3,1,2,126300,99,99,99,99,99,0,4,126300,4,28,21,0.738633118
49,11/30/2017,16:17:47,3,2,1,2,20,48089,8,8,4,5,1,5,2,5,1,2,7,4,3,1,5,5,5,4,4,5,3,2,1,1,3,1,201986,99,99,99,99,99,0,2,201986,3,26,29,1.637550328
50,11/30/2017,16:34:05,2,1,2,1,23,48237,4,4,3,4,3,4,3,4,2,2,7,5,4,7,5,4,3,4,4,5,5,99,99,99,99,99,0,2,2,1,1,2,82542,1,82542,5,25,27,0.703863059
53,11/30/2017,17:24:41,3,2,1,2,21,49849,5,5,2,5,2,5,4,4,1,2,7,4,3,4,5,5,3,5,4,5,3,2,1,3,3,1,46174,99,99,99,99,99,0,2,46174,4,25,27,0.434665396
55,11/30/2017,18:09:19,2,1,2,2,19,48047,4,4,4,5,2,5,3,3,1,2,3,3,2,1,6,3,3,2,3,3,2,99,99,99,99,99,0,2,2,1,1,1,43558,4,43558,4,16,21,0.226853039
